TrackName,Album,Artist,Genre
Another One Bites The Dust,Greatest Hits,Queen,Rock
Asche Zu Asche,Herzeleid,Rammstein,Industrial
Beauty School Dropout,Grease,Various,Soundtrack
Black Dog,IV,Led Zeppelin,Rock
Bring The Boys Back Home,The Wall [Disc 2],Pink Floyd,Rock
Circles,Blues Is,Bryan Lee,Funk
Comfortably Numb,The Wall [Disc 2],Pink Floyd,Rock
Crazy Little Thing Called Love,Greatest Hits,Queen,Rock
Electric Funeral,Paranoid,Black Sabbath,Metal
Fat Bottomed Girls,Greatest Hits,Queen,Rock
For Those About To Rock (We Salute You),Who Made Who,AC/DC,Rock
Four Sticks,IV,Led Zeppelin,Rock
Furious Angels,The Matrix Reloaded,Rob Dougan,Soundtrack
Gelle,Blues Is,Bryan Lee,Blues/R&B
Going To California,IV,Led Zeppelin,Rock
Grease,Grease,Various,Soundtrack
Hand of Doom,Paranoid,Black Sabbath,Metal
Hells Bells,Who Made Who,AC/DC,Rock
Hey You,The Wall [Disc 2],Pink Floyd,Rock
I Worry,Blues Is,Bryan Lee,Blues/R&B
Iron Man,Paranoid,Black Sabbath,Metal
Is There Anybody Out There?,The Wall [Disc 2],Pink Floyd,Rock
It was a Very Good Year,Greatest Hits,Frank Sinatra,Easy Listening
Its Your Move,Blues Is,Bryan Lee,Blues/R&B
Jack the Stripper/Fairies Wear Boots,Paranoid,Black Sabbath,Metal
Killer Queen,Greatest Hits,Queen,Rock
Laichzeit,Herzeleid,Rammstein,Industrial
Let me Down Easy,Blues Is,Bryan Lee,Blues/R&B
Misty Mountain Hop,IV,Led Zeppelin,Rock
No Low Down,Blues Is,Bryan Lee,Blues/R&B
Now You Are Gone,Greatest Hits,America,Easy Listening
Outside The Wall,The Wall [Disc 2],Pink Floyd,Rock
Paranoid,Paranoid,Black Sabbath,Metal
Planet Caravan,Paranoid,Black Sabbath,Metal
Pretty Jeanie,Blues Is,Bryan Lee,Blues/R&B
Rammstein,Herzeleid,Rammstein,Industrial
Rat Salad,Paranoid,Black Sabbath,Metal
Rock & Roll,IV,Led Zeppelin,Rock
Rode Across the Desert,Greatest Hits,America,Easy Listening
Sandy,Grease,Various,Soundtrack
Shake Your Foundations,Who Made Who,AC/DC,Rock
Sister Golden Hair,Greatest Hits,America,Easy Listening
Somebody To Love,Greatest Hits,Queen,Rock
Stairway To Heaven,IV,Led Zeppelin,Rock
Strangers in the Night,Greatest Hits,Frank Sinatra,Easy Listening
Summer Nights,Grease,Various,Soundtrack
Summer Wind,Greatest Hits,Frank Sinatra,Easy Listening
Thats Life,Greatest Hits,Frank Sinatra,Easy Listening
The Battle Of Evermore,IV,Led Zeppelin,Rock
"The Blues ""Is""",Blues Is,Bryan Lee,Blues/R&B
There it Is,Blues Is,Bryan Lee,Blues/R&B
Think,Blues Is,Bryan Lee,Blues/R&B
This Town,Greatest Hits,Frank Sinatra,Easy Listening
Tin Man,Greatest Hits,America,Easy Listening
Track 01,Danger Zone,Billy Price,Blues/R&B
Track 02,Danger Zone,Billy Price,Blues/R&B
Track 03,Danger Zone,Billy Price,Blues/R&B
Messin with the Kid,Self Titled,The Canettes Blues Band,Blues/R&B
Track 04,Danger Zone,Billy Price,Blues/R&B
Stormy Monday,Self Titled,The Canettes Blues Band,Blues/R&B
Track 05,Danger Zone,Billy Price,Blues/R&B
Waiting on Ice,Blues Is,Bryan Lee,Blues/R&B
War Pigs/Luke's Wall,Paranoid,Black Sabbath,Metal
We Are The Champions,Greatest Hits,Queen,Rock
We Will Rock You,Greatest Hits,Queen,Rock
When Somebody Loves You,Greatest Hits,Frank Sinatra,Easy Listening
When The Levee Breaks,IV,Led Zeppelin,Rock
